排名,代码,名称,综合评分,基本面,技术面,资金面,预测方向,目标价低,目标价高,风险等级
761,300036.SZ,超图软件,44.1,56.0,24.1,53.0,偏空震荡,18.28,19.17,中等风险
762,300086.SZ,康芝药业,44.1,37.9,50.9,44.7,偏空震荡,9.15,9.39,高风险
763,300170.SZ,汉得信息,44.1,54.2,30.5,47.1,看跌,23.99,25.75,高风险
764,300324.SZ,旋极信息,44.1,37.8,49.5,46.5,偏空震荡,5.28,5.82,高风险
765,300936.SZ,中英科技,44.1,36.0,50.0,49.0,偏空震荡,40.88,44.16,中等风险
766,300614.SZ,百川畅银,44.1,39.9,40.0,56.6,偏空震荡,14.35,15.83,高风险
767,300003.SZ,乐普医疗,44.0,58.0,24.7,48.6,偏空震荡,17.48,18.15,中等风险
768,300958.SZ,建工修复,44.0,34.2,51.9,48.6,震荡整理,13.56,14.60,中等风险
769,300618.SZ,寒锐钴业,43.9,51.5,34.2,45.5,看跌,43.25,47.64,高风险
770,300650.SZ,太龙股份,43.9,47.1,37.0,48.6,偏空震荡,17.70,18.94,高风险
771,300591.SZ,万里马,43.8,32.9,52.3,49.2,偏空震荡,8.27,8.85,高风险
772,300118.SZ,东方日升,43.7,35.6,51.3,46.0,震荡整理,17.49,22.41,高风险
773,300609.SZ,汇纳科技,43.7,42.0,44.1,45.7,偏空震荡,36.39,40.11,高风险
774,300842.SZ,帝科股份,43.7,41.8,36.2,57.4,偏空震荡,107.21,132.81,高风险
775,300423.SZ,昇辉科技,43.6,38.2,48.4,45.6,偏空震荡,8.37,9.08,高风险
776,300147.SZ,ST香雪,43.5,29.2,50.0,57.2,偏多震荡,9.18,9.94,中等风险
777,300601.SZ,康泰生物,43.5,46.5,38.8,45.3,偏空震荡,15.15,15.16,中等风险
778,300198.SZ,ST纳川,43.4,29.2,57.2,46.6,震荡整理,2.76,3.06,高风险
779,300755.SZ,华致酒行,43.4,35.8,50.5,45.5,偏空震荡,14.09,16.85,高风险
780,300437.SZ,清水源,43.4,37.4,47.2,47.5,偏空震荡,14.68,15.33,高风险
781,300542.SZ,新晨科技,43.4,33.4,50.0,50.0,偏空震荡,17.91,18.59,中等风险
782,300093.SZ,*ST金刚,43.3,45.1,37.2,49.1,偏空震荡,16.69,18.27,中等风险
783,300103.SZ,达刚控股,43.3,41.4,42.1,47.9,偏空震荡,7.49,7.94,中等风险
784,300313.SZ,*ST天山,43.3,34.8,49.4,48.2,偏空震荡,6.69,7.55,高风险
785,300348.SZ,长亮科技,43.3,35.0,50.0,47.2,偏空震荡,13.49,14.33,中等风险
786,300360.SZ,炬华科技,43.3,61.5,16.2,52.0,偏多震荡,16.76,18.00,中等风险
787,300513.SZ,恒实科技,43.2,35.5,50.0,46.2,偏空震荡,9.30,9.72,中等风险
788,300416.SZ,苏试试验,43.2,53.4,26.7,49.8,偏空震荡,17.88,18.61,高风险
789,300006.SZ,莱美药业,43.0,37.4,44.0,50.4,偏空震荡,4.88,5.32,中等风险
790,300011.SZ,鼎汉技术,43.0,39.6,45.2,45.2,偏空震荡,8.26,8.79,高风险
791,300586.SZ,美联新材,43.0,34.6,50.0,46.8,看跌,9.75,10.39,中等风险
792,300952.SZ,恒辉安防,43.0,48.6,29.7,52.6,偏空震荡,44.13,49.71,高风险
793,300774.SZ,倍杰特,42.9,46.8,32.6,50.9,偏空震荡,19.96,23.50,高风险
794,300044.SZ,ST赛为,42.8,29.2,57.0,44.8,震荡整理,6.61,7.83,高风险
795,300128.SZ,锦富技术,42.8,33.5,50.0,47.8,偏空震荡,6.87,7.21,中等风险
796,300197.SZ,节能铁汉,42.8,29.2,51.9,51.9,偏空震荡,1.72,1.80,中等风险
797,300587.SZ,天铁科技,42.8,28.0,57.4,46.1,偏空震荡,5.96,6.22,中等风险
798,300141.SZ,和顺电气,42.7,37.0,44.1,50.0,偏空震荡,14.03,15.81,高风险
799,300582.SZ,英飞特,42.7,32.0,52.8,45.7,偏空震荡,15.89,18.09,高风险
800,300848.SZ,美瑞新材,42.7,48.9,30.6,49.6,偏空震荡,16.21,17.02,中等风险
801,300891.SZ,惠云钛业,42.7,36.5,47.7,45.5,偏空震荡,9.31,9.62,中等风险
802,300997.SZ,欢乐家,42.7,36.8,47.5,45.5,偏空震荡,22.81,23.75,高风险
803,300518.SZ,新迅达,42.5,45.5,35.9,46.9,看跌,19.52,20.80,高风险
804,300721.SZ,怡达股份,42.5,25.0,61.0,44.6,震荡整理,13.93,17.39,高风险
805,300782.SZ,卓胜微,42.5,34.2,42.1,56.4,震荡整理,71.06,76.84,中等风险
806,300904.SZ,威力传动,42.5,36.8,41.6,52.8,偏空震荡,58.56,63.22,中等风险
807,300045.SZ,华力创通,42.4,55.1,27.1,43.5,看跌,26.69,27.23,高风险
808,300084.SZ,海默科技,42.4,42.9,38.7,46.6,偏空震荡,10.26,10.88,中等风险
809,300131.SZ,英唐智控,42.4,43.0,39.6,45.5,偏空震荡,14.26,15.25,高风险
810,300753.SZ,爱朋医疗,42.4,34.6,47.3,48.2,偏空震荡,32.76,36.08,高风险
811,300955.SZ,嘉亨家化,42.4,37.4,43.2,49.2,偏空震荡,36.50,37.26,中等风险
812,300589.SZ,江龙船艇,42.3,27.0,49.7,56.5,震荡整理,20.09,23.07,高风险
813,300098.SZ,高新兴,42.2,57.2,16.2,54.6,看跌,6.02,6.32,中等风险
814,300322.SZ,硕贝德,42.2,58.2,24.1,42.1,看跌,25.65,27.05,高风险
815,300424.SZ,航新科技,42.2,43.1,33.1,53.5,偏空震荡,17.90,18.91,中等风险
816,300621.SZ,维业股份,42.2,25.8,55.6,49.8,震荡整理,8.92,9.52,中等风险
817,300723.SZ,一品红,42.2,36.4,46.1,46.0,偏空震荡,32.91,34.17,中等风险
818,300087.SZ,荃银高科,42.0,29.4,52.7,47.3,偏空震荡,7.83,8.91,高风险
819,300428.SZ,立中集团,42.0,59.2,18.1,47.8,看跌,22.02,22.99,中等风险
820,300771.SZ,智莱科技,42.0,71.5,5.0,46.8,偏空震荡,14.72,15.29,中等风险
821,300337.SZ,银邦股份,41.9,42.1,41.3,42.6,偏空震荡,14.30,14.85,高风险
822,300613.SZ,富瀚微,41.9,42.2,38.4,46.4,看跌,45.80,48.55,高风险
823,300779.SZ,惠城环保,41.9,36.8,44.0,47.1,偏空震荡,96.03,109.15,高风险
824,300477.SZ,ST合纵,41.5,34.9,44.4,47.8,偏空震荡,2.94,2.96,高风险
825,300162.SZ,雷曼光电,41.5,49.1,27.4,49.1,看跌,8.15,8.68,中等风险
826,300878.SZ,维康药业,41.5,37.5,38.2,52.5,偏空震荡,27.26,30.72,高风险
827,300863.SZ,卡倍亿,41.5,53.4,24.9,45.8,看跌,55.41,58.95,高风险
828,300880.SZ,迦南智能,41.5,44.8,32.6,48.7,看跌,18.70,19.44,中等风险
829,300655.SZ,晶瑞电材,41.4,62.8,10.6,50.2,偏空震荡,16.50,17.84,中等风险
830,300039.SZ,上海凯宝,41.3,59.6,16.2,47.0,看跌,6.13,6.36,中等风险
831,300809.SZ,华辰装备,41.1,52.4,24.1,46.7,看跌,37.07,39.29,中等风险
832,300902.SZ,国安达,41.0,60.2,16.2,45.0,看跌,20.31,21.38,中等风险
833,300328.SZ,宜安科技,40.9,30.1,52.0,42.8,偏空震荡,15.60,16.34,高风险
834,300626.SZ,华瑞股份,40.9,53.6,21.5,47.8,看跌,18.43,19.76,高风险
835,300530.SZ,领湃科技,40.8,34.4,44.0,46.5,偏空震荡,27.43,28.92,高风险
836,300725.SZ,药石科技,40.8,57.8,16.2,48.1,偏空震荡,40.10,41.59,中等风险
837,300071.SZ,福石控股,40.7,32.8,43.8,49.1,偏空震荡,5.78,6.59,高风险
838,300029.SZ,*ST天龙,40.7,31.8,45.9,47.6,偏空震荡,4.97,5.41,高风险
839,300122.SZ,智飞生物,40.7,42.2,35.4,45.6,看跌,16.75,17.30,中等风险
840,300300.SZ,海峡创新,40.7,37.8,44.0,40.8,看跌,11.08,12.31,高风险
841,300412.SZ,迦南科技,40.6,44.1,33.1,45.4,看跌,5.69,5.86,中等风险
842,300758.SZ,七彩化学,40.6,39.7,40.8,41.6,看跌,16.41,17.60,高风险
843,300402.SZ,宝色股份,40.5,40.6,34.0,49.5,偏空震荡,21.03,22.55,高风险
844,300255.SZ,常山药业,40.5,31.5,47.1,45.6,偏空震荡,45.20,45.48,高风险
