排名,代码,名称,综合评分,基本面,技术面,资金面,预测方向,目标价低,目标价高,风险等级
110,300149.SZ,睿智医药,65.8,58.8,82.0,54.3,看涨,10.73,11.39,中等风险
111,300605.SZ,恒锋信息,65.8,56.0,87.6,50.9,看涨,16.26,17.18,中等风险
112,300718.SZ,长盛轴承,65.8,60.2,80.0,55.0,偏多震荡,81.19,85.93,中等风险
113,603379.SH,三美股份,65.8,78.2,65.0,46.9,偏多震荡,66.51,71.36,高风险
114,300462.SZ,ST华铭,65.7,56.4,83.8,55.1,看涨,11.83,12.58,中等风险
115,603739.SH,蔚蓝生物,65.7,57.3,83.8,53.9,看涨,15.30,16.13,中等风险
116,600099.SH,林海股份,65.6,47.6,95.0,53.1,看涨,11.14,11.52,中等风险
117,688026.SH,洁特生物,65.6,55.6,89.4,48.3,看涨,18.30,18.74,中等风险
118,301665.SZ,泰禾股份,65.6,69.0,74.1,48.2,看涨,28.59,31.55,中等风险
119,603757.SH,大元泵业,65.5,56.5,83.8,54.4,看涨,41.73,40.95,中等风险
120,301318.SZ,维海德,65.5,59.3,83.8,49.7,看涨,30.02,31.33,中等风险
121,301365.SZ,矩阵股份,65.5,65.2,74.0,54.2,看涨,24.64,26.42,中等风险
122,000993.SZ,闽东电力,65.4,63.1,80.2,48.3,震荡整理,11.83,12.75,中等风险
123,002774.SZ,快意电梯,65.4,49.7,95.0,49.2,看涨,11.05,11.62,中等风险
124,601995.SH,中金公司,65.4,68.5,69.7,54.6,看涨,34.35,35.44,低风险
125,001391.SZ,国货航,65.4,70.7,70.3,49.9,偏多震荡,6.05,6.06,低风险
126,920547.BJ,无锡晶海,65.4,66.0,75.9,49.6,看涨,24.55,25.70,中等风险
127,600753.SH,*ST海钦,65.3,59.0,81.5,52.9,看涨,8.41,8.87,中等风险
128,002432.SZ,九安医疗,65.2,58.1,86.0,47.4,看涨,40.70,43.23,中等风险
129,002948.SZ,青岛银行,65.2,61.9,81.5,47.8,看涨,5.30,5.69,中等风险
130,603259.SH,药明康德,65.2,74.5,70.2,43.3,偏多震荡,99.69,98.78,中等风险
131,603307.SH,扬州金泉,65.2,59.0,83.8,48.9,偏多震荡,40.83,43.05,中等风险
132,001872.SZ,招商港口,65.1,57.9,81.5,53.6,看涨,19.43,19.94,低风险
133,002103.SZ,广博股份,65.1,57.9,87.6,45.1,看涨,9.57,10.09,中等风险
134,002599.SZ,盛通股份,65.1,57.0,82.5,53.8,看涨,8.26,8.82,中等风险
135,300512.SZ,中亚股份,65.1,54.7,89.4,47.8,偏多震荡,10.17,10.64,中等风险
136,301135.SZ,瑞德智能,65.1,51.6,89.4,52.8,看涨,30.04,31.23,中等风险
137,688249.SH,晶合集成,65.1,62.6,74.0,56.5,看涨,35.68,39.68,高风险
138,002270.SZ,华明装备,65.0,63.5,70.8,59.1,看涨,32.68,32.78,高风险
139,002294.SZ,信立泰,65.0,59.4,76.3,58.1,看涨,49.27,53.40,中等风险
140,300373.SZ,扬杰科技,65.0,64.5,70.2,58.6,看涨,81.70,90.87,高风险
141,603041.SH,美思德,65.0,51.2,89.4,53.1,看涨,13.08,13.58,中等风险
142,002958.SZ,青农商行,65.0,55.5,86.0,50.9,看涨,3.08,3.22,中等风险
143,301011.SZ,华立科技,65.0,51.5,89.4,52.5,看涨,25.88,28.22,中等风险
144,301103.SZ,何氏眼科,65.0,60.6,81.5,49.1,看涨,21.05,21.89,中等风险
145,000011.SZ,深物业A,64.9,57.2,83.8,50.9,看涨,8.86,9.30,中等风险
146,003003.SZ,天元股份,64.9,51.6,95.0,44.0,偏多震荡,13.50,14.58,中等风险
147,001366.SZ,播恩集团,64.9,49.6,95.0,47.2,偏多震荡,14.47,15.28,中等风险
148,603049.SH,中策橡胶,64.9,60.0,75.9,57.4,偏多震荡,52.90,56.90,中等风险
149,600210.SH,紫江企业,64.8,68.5,70.2,51.5,看涨,7.42,7.83,中等风险
150,600731.SH,湖南海利,64.8,55.2,83.8,53.4,看涨,7.28,7.68,中等风险
151,003008.SZ,开普检测,64.8,59.9,82.0,48.6,看涨,23.74,24.56,中等风险
152,688617.SH,惠泰医疗,64.8,68.2,65.0,59.0,偏多震荡,226.39,245.45,中等风险
153,301165.SZ,锐捷网络,64.8,64.8,70.8,56.5,看涨,79.26,86.30,高风险
154,000708.SZ,中信特钢,64.7,60.5,78.1,52.7,看涨,15.07,16.53,中等风险
155,600166.SH,福田汽车,64.7,61.9,75.3,54.4,看涨,3.08,3.31,中等风险
156,600329.SH,达仁堂,64.7,71.8,66.9,50.2,看涨,42.55,45.34,中等风险
157,002152.SZ,广电运通,64.7,49.4,85.0,60.6,看涨,13.22,13.86,中等风险
158,002243.SZ,力合科创,64.7,44.9,91.2,59.2,看涨,10.60,11.26,中等风险
159,002658.SZ,雪迪龙,64.7,63.0,81.5,43.9,看涨,10.04,10.74,中等风险
160,603345.SH,安井食品,64.7,61.6,74.1,56.5,看涨,86.42,92.52,中等风险
161,300693.SZ,盛弘股份,64.7,57.4,86.3,46.0,偏多震荡,38.09,41.55,中等风险
162,603871.SH,嘉友国际,64.7,63.6,75.3,51.8,看涨,13.37,14.08,中等风险
163,688121.SH,卓然股份,64.7,53.0,89.4,48.8,看涨,11.82,12.35,中等风险
164,000895.SZ,双汇发展,64.6,58.9,83.0,47.8,看涨,26.12,26.85,低风险
165,600057.SH,厦门象屿,64.6,64.5,76.2,48.7,偏多震荡,7.92,8.67,中等风险
166,600958.SH,东方证券,64.6,67.2,65.8,58.7,看涨,10.12,10.52,低风险
167,603987.SH,康德莱,64.6,62.4,75.9,52.3,看涨,9.34,9.51,低风险
168,300548.SZ,长芯博创,64.6,73.0,70.2,43.2,偏多震荡,145.52,174.88,高风险
169,300684.SZ,中石科技,64.6,69.8,70.2,48.3,看涨,54.61,59.25,高风险
170,002888.SZ,惠威科技,64.6,59.8,81.5,48.6,看涨,20.96,21.89,中等风险
171,301503.SZ,智迪科技,64.6,60.1,82.0,47.5,看涨,38.56,40.33,中等风险
172,000538.SZ,云南白药,64.5,64.8,70.6,55.6,看涨,55.88,57.63,低风险
173,000768.SZ,中航西飞,64.5,45.9,89.4,59.6,看涨,29.50,31.22,中等风险
174,300532.SZ,今天国际,64.5,49.4,91.2,51.1,看涨,12.25,12.85,中等风险
175,002825.SZ,纳尔股份,64.5,57.4,80.9,52.8,看涨,10.68,11.22,中等风险
176,603050.SH,科林电气,64.5,63.0,80.9,44.0,看涨,20.61,21.96,中等风险
177,603103.SH,横店影视,64.5,68.7,65.3,56.8,看涨,32.47,40.45,高风险
178,300938.SZ,信测标准,64.4,58.2,74.0,61.0,看涨,34.44,38.28,高风险
179,002833.SZ,弘亚数控,64.4,60.0,80.9,48.4,看涨,18.15,18.99,中等风险
180,603659.SH,璞泰来,64.4,61.0,83.8,42.5,偏多震荡,27.58,29.71,中等风险
181,300607.SZ,拓斯达,64.4,52.8,82.5,57.7,看涨,31.03,33.76,中等风险
182,000999.SZ,华润三九,64.3,59.2,83.8,45.1,偏多震荡,28.26,29.43,中等风险
183,600573.SH,惠泉啤酒,64.3,57.2,81.1,52.0,看涨,11.71,12.30,中等风险
184,002340.SZ,格林美,64.3,57.9,74.0,61.1,看涨,8.99,9.95,高风险
185,300643.SZ,万通智控,64.3,68.0,68.8,51.9,偏多震荡,19.14,20.62,中等风险
186,605277.SH,新亚电子,64.3,65.2,74.0,49.2,偏多震荡,24.97,26.00,中等风险
187,301600.SZ,慧翰股份,64.3,55.6,82.0,53.4,看涨,121.97,127.30,中等风险
188,000680.SZ,山推股份,64.2,58.0,75.3,58.5,看涨,12.66,13.45,中等风险
