排名,代码,名称,综合评分,基本面,技术面,资金面,预测方向,目标价低,目标价高,风险等级
165,600406.SH,国电南瑞,54.2,53.8,60.7,45.6,偏多震荡,25.32,26.94,中等风险
166,600019.SH,宝钢股份,54.2,63.8,38.8,60.5,震荡整理,6.69,7.15,中等风险
167,300413.SZ,芒果超媒,54.2,44.8,70.2,46.7,偏多震荡,25.37,27.77,高风险
168,600522.SH,中天科技,54.1,57.0,57.0,45.4,震荡整理,22.62,26.22,高风险
169,600115.SH,中国东航,54.0,50.0,65.0,44.9,震荡整理,5.63,6.23,高风险
170,601985.SH,中国核电,53.9,53.9,54.2,53.5,震荡整理,8.41,8.63,低风险
171,300442.SZ,润泽科技,53.9,68.8,42.8,45.5,震荡整理,70.06,82.94,高风险
172,601808.SH,中海油服,53.9,60.5,46.9,53.3,偏多震荡,14.97,16.63,高风险
173,600027.SH,华电国际,53.7,59.0,47.7,53.7,震荡整理,4.77,4.93,低风险
174,600905.SH,三峡能源,53.6,52.2,51.2,59.2,偏多震荡,4.06,4.06,低风险
175,300418.SZ,昆仑万维,53.6,44.6,57.9,62.1,看涨,56.56,61.98,高风险
176,000301.SZ,东方盛虹,53.6,47.2,60.0,54.7,看涨,12.11,13.52,高风险
177,603369.SH,今世缘,53.6,59.6,47.5,52.6,震荡整理,31.06,33.72,中等风险
178,603993.SH,洛阳钼业,53.5,67.0,43.2,46.5,震荡整理,20.02,23.94,高风险
179,601658.SH,邮储银行,53.5,54.6,50.0,56.6,偏多震荡,4.98,5.16,低风险
180,601872.SH,招商轮船,53.5,52.6,53.9,54.5,偏多震荡,11.34,13.04,高风险
181,002252.SZ,上海莱士,53.4,55.9,53.1,49.8,震荡整理,6.16,6.32,低风险
182,300498.SZ,温氏股份,53.2,59.2,51.4,46.0,震荡整理,15.02,15.78,中等风险
183,000858.SZ,五粮液,53.1,64.7,43.9,47.5,震荡整理,102.33,109.79,中等风险
184,000776.SZ,广发证券,53.0,65.0,44.4,46.0,震荡整理,20.52,21.74,中等风险
185,601138.SH,工业富联,52.9,62.9,49.7,41.2,偏空震荡,51.95,57.55,高风险
186,002371.SZ,北方华创,52.9,60.6,41.6,56.3,偏多震荡,468.29,503.95,中等风险
187,600941.SH,中国移动,52.6,52.4,54.2,50.7,震荡整理,90.67,94.55,低风险
188,688012.SH,中微公司,52.5,60.4,42.5,53.9,震荡整理,326.71,362.29,高风险
189,603296.SH,华勤技术,52.5,63.0,44.0,47.4,震荡整理,85.70,92.06,中等风险
190,600875.SH,东方电气,52.3,48.2,53.0,57.8,偏多震荡,30.64,28.13,高风险
191,000725.SZ,京东方Ａ,51.9,60.1,44.4,49.4,震荡整理,4.06,4.30,中等风险
192,603893.SH,瑞芯微,51.9,74.5,24.1,54.7,震荡整理,176.53,192.17,中等风险
193,600741.SH,华域汽车,51.9,59.1,41.6,54.8,震荡整理,18.55,19.55,中等风险
194,600026.SH,中远海能,51.9,46.9,51.1,61.1,偏多震荡,16.23,16.95,高风险
195,603799.SH,华友钴业,51.8,60.0,44.0,49.4,震荡整理,68.18,76.82,高风险
196,600104.SH,上汽集团,51.7,54.9,47.7,52.0,震荡整理,14.08,14.56,低风险
197,688036.SH,传音控股,51.7,55.4,44.4,56.1,震荡整理,56.53,60.73,中等风险
198,002714.SZ,牧原股份,51.6,65.8,36.5,49.9,偏空震荡,44.77,46.05,中等风险
199,300760.SZ,迈瑞医疗,51.6,55.0,51.4,46.5,震荡整理,181.76,189.78,低风险
200,600795.SH,国电电力,51.6,54.4,50.0,49.3,震荡整理,4.54,4.72,低风险
201,601398.SH,工商银行,51.5,55.9,40.6,59.7,震荡整理,6.97,7.25,低风险
